"Gene_ID","Gene_Symbol","SRR27553658","SRR27553659","SRR27553660","SRR27553661","SRR27553662","SRR27553663","SRR27553664","SRR27553665","SRR27553666","SRR25482874","SRR25482875","SRR25482876","SRR25482877","SRR25482878","SRR25482879","SRR25482880","SRR25482881"
"ENSOMYG00000000408","ndufb8",49.048466,50.627205,79.292282,51.263969,77.002205,33.985294,60.354412,90.766075,77.156906,16.683088,18.178677,31.870588,40.166912,26.016912,10.581617,29.402206,22.516176
"ENSOMYG00000000925","ddit4",15.253554,9.76718,19.87974,9.227489,10.51718,13.013033,1.281398,2.901659,3.357228,10.233413,0.812204,11.404621,3.739929,4.537915,0.825237,0.793839,0.382701
"ENSOMYG00000006239","tob1a",92.87278,56.035995,106.387077,70.347633,66.980278,63.472881,39.805225,31.488661,23.784023,67.901382,48.970909,101.591713,114.33876,94.585808,37.733727,44.950199,28.422585
"ENSOMYG00000008207","myoz3a",6.226506,14.725301,32.105423,5.268072,54.908131,20.820482,8.083735,8.404819,2.871687,2.435542,1.189157,1.743374,0.809036,4.305422,0.786747,0.913855,0
"ENSOMYG00000012434","CREM",52.22443,64.325447,61.76416,21.996618,25.91885,23.934067,15.808115,17.640743,6.86137,4.054945,6.551987,11.439561,8.918005,11.497042,4.46492,2.887574,3.180896
"ENSOMYG00000012745","creb5a",7.020299,9.717592,10.405983,6.042379,9.121439,8.613604,6.125356,9.237535,4.266738,0.186254,0.71047,0.762821,0.791311,1.018875,0,0,0
"ENSOMYG00000013939","aqp3b",3.512259,0,1.542907,2.381786,2.58669,1.012259,3.888792,3.353765,1.923818,0.223292,0.876532,0,0,0,2.734676,1.791594,0
"ENSOMYG00000016957","nr4a3",1.954544,0.424874,0.976911,0.676142,0.04719,0.649872,0.152137,0.369189,0,0,0,0.244191,0,0,0.089192,0,0
"ENSOMYG00000017016","cdkn1ba",36.918324,25.785872,39.295807,25.540838,25.875277,33.520973,17.094923,23.926048,9.187638,27.178808,14.253863,33.5298,28.250551,28.028698,11.701986,6.056292,8.419426
"ENSOMYG00000018467","EGLN3",15.195122,11.213705,16.955866,4.224739,4.421603,2.839721,3.783972,2.304297,4.037166,14.344948,11.730546,4.191638,10.442509,7.185831,1.819977,1.363531,0.347271
"ENSOMYG00000019103","hagh",12.084098,22.534914,27.121815,16.458715,24.085882,18.714323,24.247808,22.109837,6.445506,38.29995,36.863403,58.048676,68.692154,71.441383,45.902905,17.462313,37.273445
"ENSOMYG00000019620","nduba",21.367599,0.047408,0.067838,0.069057,0.16748,0.072934,0.080014,0.10455,0.08251,0.008918,0.053072,0.025923,0.033858,0.049587,0.076453,0.066644,0.030192
"ENSOMYG00000021608","r3hdml",1.092109,1.996779,2.772947,1.687279,2.794525,2.183897,0.938486,1.031884,0.945894,0.626087,1.273108,1.48438,2.836393,3.589694,0.657005,0.172625,0.360386
"ENSOMYG00000022552","znf395a",45.881386,28.868832,47.201515,13.69329,19.506277,14.135498,13.377706,7.168831,6.190476,13.684849,13.806061,18.826624,14.33723,16.814503,6.421645,5.517965,4.212121
"ENSOMYG00000022630","egln2",22.305614,16.654886,22.463703,6.040021,6.387214,5.772869,6.472453,6.284823,3.987526,8.754158,10.337838,9.909563,12.651247,16.719854,3.138773,3.897089,2.903327
"ENSOMYG00000025146","KIF3C",1.475901,1.362808,1.218786,1.013662,1.693359,0.774194,1.434915,0.659962,1.035294,0.307021,0.111575,1.490133,0.626565,1.637192,0,0.118406,0
"ENSOMYG00000026585","ero1a",4.905518,0.10118,0.226087,0.481866,0,0.615321,1.144666,0.087181,0,1.447458,0.038166,0.892811,1.303606,0.054879,0,0,0
"ENSOMYG00000028693","elovl5",0,0,0,0,5.599581,0,0,10.733229,11.324947,283.498962,322.711731,482.514679,596.329651,497.977997,525.501587,444.664032,392.809753
"ENSOMYG00000028743","klf9",64.976387,62.1875,66.458336,28.527779,19.247223,28.118055,2.45,13.505555,4.873611,29.081944,22.618055,56.191666,53.237499,64.3125,10.8875,11.890278,11.848611
"ENSOMYG00000029048","slc1a5",1.198192,0.744756,1.244378,0.859498,0.470133,0.622165,0.615426,0.104779,0,0,0.29614,0.034999,0.009937,0.036817,0,0,0
"ENSOMYG00000037936","zbtb16a",6.553119,6.616257,6.716824,2.931947,3.114934,2.355766,3.514178,3.12552,3.642722,10.962571,8.381852,20.101322,23.345558,25.11153,1.305104,2.533081,1.514934
"ENSOMYG00000038715","efemp2b",1.242211,0.850676,1.452675,0.982951,0.995885,1.812463,2.114639,1.536743,0.991182,0.640212,0,2.245738,1.073486,2.113463,0,0,0
"ENSOMYG00000038907","egln3",6.744455,6.492606,12.445472,2.439926,2.056377,0.962107,1.484288,1.519408,1.086876,14.005546,12.784658,7.139556,6.149723,6.696857,2.761553,2.81146,2.69963
"ENSOMYG00000039003","diabloa",0.915584,0,2.205431,0.42621,3.982586,0.524793,0.674734,23.1768,12.866883,442.2565,234.142273,513.638123,269.809906,248.163956,364.074677,303.003235,278.777161
"ENSOMYG00000040771","irs2a",1.172228,2.200191,0.953924,0.165237,3.464569,0.538926,0,0.260566,0.581824,2.66762,1.61932,15.150302,13.873213,18.54528,3.299333,2.32094,1.739434
"ENSOMYG00000042667","cebpd",254.515442,128.76062,216.451736,157.939194,174.501938,183.509659,66.293434,83.716217,36.515446,93.346527,51.744209,101.585907,88.229729,76.118729,26.972008,23.196911,21.387068
"ENSOMYG00000045565","irs2b",4.229328,5.678762,5.42445,2.541642,2.844438,3.225461,1.794765,2.164783,0.693635,3.149613,1.535396,5.01398,6.745389,12.926829,1.989887,0.771862,1.888459
"ENSOMYG00000046233","fkbp5",35.118206,75.607689,77.260483,26.526648,12.43982,18.851498,8.578444,14.23024,9.92036,42.943611,43.86557,61.456787,76.608681,72.887024,23.845509,22.495209,19.113174
"ENSOMYG00000046836","zgc:162608",0.958893,0.855705,1.724832,0.362416,28.710989,1.552852,4.88255,34.9375,33.594799,162.961426,228.859894,883.785217,575.78186,778.199219,722.380859,762.483643,680.511719
"ENSOMYG00000059646","tsc22d3",2.312999,0,3.369493,0.239989,0.467123,43.178791,10.512828,0.275928,0,0,0.416964,121.203682,1.549557,11.810194,1.747926,0,0.57719
"ENSOMYG00000060194","klf13",6.067232,10.652542,9.662712,6.298305,3.952542,3.625424,4.433333,2.780226,2.881921,24.180792,19.307344,36.454239,41.751595,31.841808,8.173447,10.158192,7.70339
"ENSOMYG00000063206","ccn5",2.224883,14.873464,8.747139,3.22891,3.73866,3.459093,0.178889,0.784443,1.03794,1.27978,0.732726,0.952522,1.493006,1.58351,0.568249,1.172319,0.632259
"ENSOMYG00000066296","cdc25d",6.669729,3.277419,4.714211,1.94955,2.333912,1.855281,1.046657,1.160459,1.266678,10.372133,7.845379,3.53049,8.072446,6.720813,3.373527,2.724809,2.45483
"ENSOMYG00000068030","ddit4",39.850212,28.940928,47.919128,18.912096,22.661041,25.160337,11.009846,8.427567,8.094936,16.746836,3.800985,22.681435,8.47398,10.418425,1.502813,2.385373,1.168776
